"Checkin";"Check-In"
"HE - Checkin";"HE - Check-In"
"Checkins";"Check-Ins"
"CHECKIN_%s was here";"%s was here";"%s were here"
"CHECKIN_%s likes this";"%s likes this";"%s like this"
"CHECKIN_no one likes";"no one likes"
"CHECKIN_Share location";"Share location"
"CHECKIN_Where are you?";"Where are you?"
"CHECKIN_Getting location...";"Getting location..."
"CHECKIN_There are no places found by your keywords";"No places found by your keywords"
"CHECKIN_Mark on the map";"Mark on the map"
"CHECKIN_VIEW_MODE_DESC";"Check-Ins in List/Map view"
"CHECKIN_list view";"list view"
"CHECKIN_map view";"map view"
"CHECKIN_ADMIN_MAIN_HEADER_TITLE";"Check-In Plugin"
"CHECKIN_Checkin Plugin Settings";"Checkin Plugin Settings"
"CHECKIN_ADMIN_GLOBAL_DESCRIPTION";"Please enter your Google Map API Key which is needed for your Check-In maps, if you do not have one, you can get it for free at <a href=""https://code.google.com/apis/console"" target=""_blank"">Google Maps API</a>"
"CHECKIN_Google Map Key";"Google Map Key"
"CHECKIN_There are %s old records. Please wait ...";"There are %s old records. Please wait ..."
"CHECKIN_Your database has old formatted %s records. You need to upgrade them. Please click %s";"Your database has old formatted %s records. You need to upgrade them. Please click %s"
"CHECKIN_%s were here"; "%s were here"
"CHECKIN_Get location";"Get location"
"CHECKIN_Edit location";"Edit location"
"Event Map";"Event Map"
"in ";"in "
"at ";"at "
"Event Profile Check-Ins";"Event Profile Check-Ins"
"pagetitle-event-index-profile";"Event Profile Check-Ins"
"CHECKIN_There are no locations";"There are no locations"