"HETIPS_Hetips"; "HE - Tips"
"HETIPS_LOADING"; "Loading ..."
"HETIPS_ADMIN_USERS_PROFILE_TIPS"; "User"
"HETIPS_ADMIN_PAGES_PROFILE_TIPS"; "Page"
"HETIPS_ADMIN_GROUPS_PROFILE_TIPS"; "Group"

"pagetitle-hetips-index-admin-index";"Tips"
"USER_PROFILE_TIPS"; "User Profile Tips"
"PAGE_PROFILE_TIPS"; "Page Profile Tips"
"GROUP_PROFILE_TIPS"; "Group Profile Tips"
"Settings Tips";"Tips Settings"
"HETIPS_ADMIN_HOW_DISPLAY_TIPS";"Select format of Tips"
"Comma separated";"Fields are comma separated and displayed on line"
"Each field on own row width ...";"Fields are displayed on new line"
"In this category are no tips!";"No fields are added and displayed in this category"
"HETIPS_ADMIN_LIKES_COUNTER";"Display likes counter"
"HETIPS_ADMIN_DISPLAY_FRIENDS";"Display friends or mutual friends"
"HETIPS_ADMIN_SHOW_LABELS";"Display captions(fields name)"
"HETIPS_ADMIN_MEMBERS_LIKE_THIS";"Display members like this"
"HETIPS_ADMIN_MEMBERS_COUNT"; "Display members count"