"Users Gallery";"Users Gallery"
"Remove favourite";"Remove favourite"
"Add favourite";"Add favourite"
"SocialGames";"SocialGames"
"SocialGames Settings";"SocialGames Settings"
"Do Import";"Do Import"
"edit";"edit"
"delete";"delete"
"Ready to Play?";"Ready to Play?"
"Instructions";"Instructions"
"Game Info";"Game Info"
"players";"players"
"views";"views"
"Already played";"Already played"
"There are no added games";"There are no added games"
"There are no favourites games";"There are no favourites games"
"There are no featured games";"There are no featured games"
"Games";"Games"
"games played";"games played"
"Already played games";"Already played games"
"Featured games";"Featured games"
"Top Players";"Top Players"
"My Games";"My Games"
"Similar games";"Similar games"
"Games Manage";"Games Manage"
"Member Levels Settings";"Member Levels Settings"
"Browse games";"Browse games"
"Favourite games";"Favourite games"
"Play random game";"Play random game"
"Socialgames Settings";"Socialgames Settings"
"Search Games";"Search Games"
"Browse By";"Browse By"
"Category";"Category"
"Most Recent";"Most Recent"
"Most Played";"Most Played"
"Most Viewed";"Most Viewed"
"All Categories";"All Categories"