"SUGGEST_ADMIN_RECOMMEND_DESCRIPTION";"Below you can browse all content of your site and recommend some of them for your members. So admin(you) recommendations will have higher priority which allows you to promote wished content(blog, event, group, page, etc). Please note that admin recommendations are always shown in the widgets so accurately choose the number of recommended items to avoid showing the same content permanently."

"suggest_Global Settings";"Global Settings"
"suggest_Recommendations";"Recommendations"

"suggest_Your suggestions were successfully sent.";"Your suggestions have been successfully sent."
"suggest_Your suggestions were not sent.";"Your suggestions have not been sent."
"suggest_Suggestion of this type was turned off by site admin.";"Suggestion of this type was turned off by site admin."
"suggest_Choose friends from list.";"Choose friends from list."

"suggest_widget_item_count_title";"Widget items count"
"suggest_widget_item_count_descr";"Count of items shown in widgets"

"suggest_global_settings_title";"Suggestion Global Settings"
"suggest_global_settings_descr";"These settings affect all members in your community."

"suggest_global_setting_friend_add_descr";"Add Friend Suggestion"
"suggest_global_setting_friend_add_title";"Will suggestion popup appear when user adds a friend?"

"suggest_global_setting_friend_confirm_descr";"Confirm Friend Suggestion"
"suggest_global_setting_friend_confirm_title";"Will suggestion popup appear when user confirms friend request?"

"suggest_global_setting_popup_create_title";"Create Content Suggestion"
"suggest_global_setting_popup_create_descr";"After which of the following content types creation popup box will appear?"

"suggest_global_setting_popup_join_title";"Joining"
"suggest_global_setting_popup_join_descr";"After when users will join to the following, will suggest box appear?"

"suggest_global_setting_link_title";"Sharebar widget"
"suggest_global_setting_link_descr";"Will sharebar widget be displayed on view page of the contents?"

"suggest_global_setting_group_join_descr";"Join Group Suggestion"
"suggest_global_setting_group_join_title";"Will suggest box appear when members join groups."

"suggest_global_setting_group_accept_descr";"Group Invitation Accept Suggestion"
"suggest_global_setting_group_accept_title";"Will suggest box appear when members accept group invitations."

"suggest_global_setting_event_join_descr";"Join Event Suggestion"
"suggest_global_setting_event_join_title";"Will suggest box appear when members join events."

"suggest_global_setting_event_accept_descr";"Event Invitation Accept Suggestion"
"suggest_global_setting_event_accept_title";"Will suggest box appear when members accept event invitations."

"suggest_global_setting_suggest_profile_photo_title";"Allow users suggest profile photos?"
"suggest_global_setting_suggest_profile_photo_descr";"Profile Photo Suggestion"

"suggest_global_setting_suggest_popup_take_quiz_descr";"Take Quiz Suggestion"
"suggest_global_setting_suggest_popup_take_quiz_title";"Will suggest box appear when user after user pass a quiz?"

"suggest_popup_title_quiz %s";"Suggest to your friends who might be interested in playing '%s' quiz."
"suggest_popup_title_blog %s";"Suggest to your friends who might be interested in viewing '%s' blog."
"suggest_popup_title_classified %s";"Suggest to your friends who might be interested in '%s' classified."
"suggest_popup_title_video %s";"Suggest to your friends who might be interested in viewing '%s' video."
"suggest_popup_title_user %s";"Suggest to your friends who might be interested in friendship with '%s'."
"suggest_popup_title_music_playlist %s";"Suggest to your friends who might be interested in '%s' music playlist."
"suggest_popup_title_poll %s";"Suggest to your friends who might be interested in voting '%s' poll."
"suggest_popup_title_event %s";"Suggest to your friends who might be interested in attending '%s' event."
"suggest_popup_title_group %s";"Suggest to your friends who might be interested in joining '%s' group."
"suggest_popup_title_album %s";"Suggest to your friends who might be interested in viewing '%s' album."
"suggest_popup_title_album_photo %s";"Suggest to your friends who might be interested in '%s' photo."
"suggest_popup_title_question %s";"Suggest to your friends who might be interested in '%s' question."
"suggest_popup_title_article %s";"Suggest to your friends who might be interested in reading '%s' article."
"suggest_popup_title_page %s";"Suggest to your friends who might be interested in `%s` page."
"suggest_popup_title_offer %s";"Suggest to your friends who might be interested in `%s` offer."

"suggest_view_this_user";"Add friend"
"suggest_cancel_suggest_user";"Ignore"

"suggest_view_this_classified";"View Classified"
"suggest_cancel_suggest_classified";"Ignore"

"suggest_view_this_group";"Join Group"
"suggest_cancel_suggest_group";"Ignore"

"suggest_view_this_event";"Join Event"
"suggest_cancel_suggest_event";"Ignore"


"suggest_view_this_page";"View Page"
"suggest_cancel_suggest_page";"Ignore"

"suggest_view_this_blog";"View Blog"
"suggest_cancel_suggest_blog";"Ignore"

"suggest_view_this_album";"View Album"
"suggest_cancel_suggest_album";"Ignore"

"suggest_view_this_video";"View Video"
"suggest_cancel_suggest_video";"Ignore"

"suggest_view_this_music_playlist";"Listen Playlist"
"suggest_cancel_suggest_music_playlist";"Ignore"

"suggest_view_this_quiz";"Take Quiz"
"suggest_cancel_suggest_quiz";"Ignore"

"suggest_view_this_album_photo";"View Photo"
"suggest_cancel_suggest_album_photo";"Ignore"

"suggest_view_this_poll";"View Poll"
"suggest_cancel_suggest_poll";"Ignore"

"suggest_view_this_article";"View Article"
"suggest_cancel_suggest_article";"Ignore"

"suggest_view_this_question";"View Question"
"suggest_cancel_suggest_question";"Ignore"

"suggest_view_this_suggest_profile_photo";"Make Profile Photo"
"suggest_cancel_suggest_suggest_profile_photo";"Ignore"
"suggest_description_user";"This friend was suggested by %s %s."
"suggest_description_blog";"This blog was suggested by %s %s."
"suggest_description_page";"This page was suggested by %s %s."
"suggest_description_group";"This group was suggested by %s %s."
"suggest_description_poll";"This poll was suggested by %s %s."
"suggest_description_classified";"This classified was suggested by %s %s."
"suggest_description_event";"This event was suggested by %s %s."
"suggest_description_album";"This album was suggested by %s %s."
"suggest_description_album_photo";"This photo was suggested by %s %s."
"suggest_description_music_playlist";"This music playlist was suggested by %s %s."
"suggest_description_quiz";"This quiz was suggested by %s %s."
"suggest_description_video";"This video was suggested by %s %s."
"suggest_description_question";"This question was suggested by %s %s."
"suggest_description_article";"This article was suggested by %s %s."
"suggest_description_suggest_profile_photo";"This photo was suggested to you by %s %s."


"suggest_suggest_profile_photo_suggestions_title";"You have %s profile photo suggestion.";"You have %s profile photo suggestions."
"suggest_user_suggestions_title";"You have %s friend suggestion.";"You have %s friend suggestions."
"suggest_classified_suggestions_title";"You have %s classified suggestion.";"You have %s classified suggestions."
"suggest_group_suggestions_title";"You have %s group suggestion.";"You have %s group suggestions."
"suggest_event_suggestions_title";"You have %s event suggestion.";"You have %s event suggestions."
"suggest_page_suggestions_title";"You have %s page suggestion.";"You have %s page suggestions."
"suggest_blog_suggestions_title";"You have %s blog suggestion.";"You have %s blog suggestions."
"suggest_video_suggestions_title";"You have %s video suggestion.";"You have %s video suggestions."
"suggest_album_suggestions_title";"You have %s album suggestion.";"You have %s album suggestions."
"suggest_album_photo_suggestions_title";"You have %s album photo suggestion.";"You have %s album photo suggestions."
"suggest_music_playlist_suggestions_title";"You have %s music playlist suggestion.";"You have %s music playlist suggestions."
"suggest_playlist_suggestions_title";"You have %s music playlist suggestion.";"You have %s music playlist suggestions."
"suggest_quiz_suggestions_title";"You have %s quiz suggestion.";"You have %s quiz suggestions."
"suggest_poll_suggestions_title";"You have %s poll suggestion.";"You have %s poll suggestions."
"suggest_question_suggestions_title";"You have %s question suggestion.";"You have %s question suggestions."
"suggest_article_suggestions_title";"You have %s article suggestion.";"You have %s article suggestions."

"suggest_suggests_page_header";"Suggestions"
"suggest_suggests_page_description";"Below you can see all suggestions sent to you by community members."

"suggest_menu_Suggest";"HE - Suggest"

"suggest_%s view | posted by %s"; "%s view | posted by %s"; "%s views | posted by %s"
"suggest_%s member led by %s"; "%s member led by %s"; "%s members led by %s"
"suggest_%s guest led by %s"; "%s guest led by %s"; "%s guests led by %s"
"suggest_%s vote | posted by %s"; "%s vote | posted by %s"; "%s votes | posted by %s"

"ACTIVITY_TYPE_SUGGEST_ALBUMS";"When member suggest you an album"
"ACTIVITY_TYPE_SUGGEST_ALBUM_PHOTO";"When member suggest you an album photo"
"ACTIVITY_TYPE_SUGGEST_BLOG";"When member suggest you a blog"
"ACTIVITY_TYPE_SUGGEST_CLASSIFIED";"When member suggest you a classified"
"ACTIVITY_TYPE_SUGGEST_EVENT";"When member suggest you an event"
"ACTIVITY_TYPE_SUGGEST_GROUP";"When member suggest you a group"
"ACTIVITY_TYPE_SUGGEST_MUSIC_PLAYLIST";"When member suggest you a music playlist"
"ACTIVITY_TYPE_SUGGEST_POLL";"When member suggest you a poll"
"ACTIVITY_TYPE_SUGGEST_QUIZ";"When member suggest you a quiz"
"ACTIVITY_TYPE_SUGGEST_SUGGEST_PROFILE_PHOTO";"When member suggest you profile photo"
"ACTIVITY_TYPE_SUGGEST_USER";"When member suggest you a friend"
"ACTIVITY_TYPE_SUGGEST_VIDEO";"When member suggest you a video"
"ACTIVITY_TYPE_SUGGEST_ARTICLE";"When member suggest you an article"
"ACTIVITY_TYPE_SUGGEST_QUESTION";"When member suggest you a question"

"{item:$subject} has suggested to you a {item:$object:album}."; "{item:$subject} has suggested to you a {item:$object:album}."
"{item:$subject} has suggested to you a {item:$object:photo}."; "{item:$subject} has suggested to you a {item:$object:photo}."
"{item:$subject} has suggested to you a {item:$object:blog}."; "{item:$subject} has suggested to you a {item:$object:blog}."
"{item:$subject} has suggested to you a {item:$object:classified}."; "{item:$subject} has suggested to you a {item:$object:classified}."
"{item:$subject} has suggested to you a {item:$object:event}."; "{item:$subject} has suggested to you a {item:$object:event}."
"{item:$subject} has suggested to you a {item:$object:group}."; "{item:$subject} has suggested to you a {item:$object:group}."
"{item:$subject} has suggested to you a {item:$object:poll}."; "{item:$subject} has suggested to you a {item:$object:poll}."
"{item:$subject} has suggested to you a {item:$object:quiz}."; "{item:$subject} has suggested to you a {item:$object:quiz}."
"{item:$subject} has suggested to you a {item:$object:profilephoto}."; "{item:$subject} has suggested to you a {item:$object:profilephoto}."
"{item:$subject} has suggested to you a new {item:$object:friend}."; "{item:$subject} has suggested to you a new {item:$object:friend}."
"{item:$subject} has suggested to you a {item:$object:video}."; "{item:$subject} has suggested to you a {item:$object:video}."
"{item:$subject} has suggested to you a {item:$object:article}."; "{item:$subject} has suggested to you a {item:$object:article}."
"{item:$subject} has suggested to you a {item:$object:question}."; "{item:$subject} has suggested to you a {item:$object:question}."
"{item:$subject} has suggested to you a {item:$object:page}."; "{item:$subject} has suggested to you a {item:$object:page}."
"{item:$subject} has suggested to you a {item:$object:user}."; "{item:$subject} has suggested to you a {item:$object:user}."

"profilephoto"; "profile photo"
"suggest_Suggest %s profile photo."; "Suggest %s profile photo."
"suggest_Suggest Profile Photo"; "Suggest Profile Photo"

"suggest_profile_photo_form_header"; "File Upload"
"suggest_profile_photo_form_description";"Please upload photo which you would like to suggest. Click ""Add Photos"" to select a photo from your computer, after you have selected the photo, it will begin to upload right away."
"suggest_profile_photo_form_file"; "Upload a Photo:"

"suggest_profile_photo_fancy_description";"Please upload photo which you would like to suggest. Click ""Add Photos"" to select a photo from your computer, after you have selected the photo, it will begin to upload right away."
"suggest_profile_photo_fancy_link"; "Upload Photo"


"suggest_global_setting_mix_title"; "Mixed Recommendations"
"suggest_global_setting_mix_descr"; "Which of the following instances should be shown on Mixed Recommendations widget?"


"suggest_fb_invite_title"; "Invite Your Friends from Facebook"

"ACTIVITY_TYPE_SUGGEST"; "When people suggest to me a friend"

"_EMAIL_NOTIFY_SUGGEST_TITLE";"Friend Suggestion"
"_EMAIL_NOTIFY_SUGGEST_DESCRIPTION";"This email is sent to the member when someone suggest him a friend."
"_EMAIL_NOTIFY_SUGGEST_SUBJECT";"Friend Suggested"
"_EMAIL_NOTIFY_SUGGEST_BODY";"[header]

""[sender_title]"" has suggested to you to become friend with ""[object_title]"".

Please click the following link to view it:

<a href='http://[host][object_link]'>http://[host][object_link]</a>

[footer]
"


"ACTIVITY_TYPE_SUGGEST_ALBUM"; "When people suggest to me an album"

"_EMAIL_NOTIFY_SUGGEST_ALBUM_TITLE";"Album Suggestion"
"_EMAIL_NOTIFY_SUGGEST_ALBUM_DESCRIPTION";"This email is sent to the member when someone suggest him an album."
"_EMAIL_NOTIFY_SUGGEST_ALBUM_SUBJECT";"Album Suggested"
"_EMAIL_NOTIFY_SUGGEST_ALBUM_BODY";"[header]

""[sender_title]"" has suggested to you to view ""[object_title]"" album.

Please click the following link to view it:

<a href='http://[host][object_link]'>http://[host][object_link]</a>

[footer]
"


"ACTIVITY_TYPE_SUGGEST_ALBUM_PHOTO"; "When people suggest to me an album photo"

"_EMAIL_NOTIFY_SUGGEST_ALBUM_PHOTO_TITLE";"Album Photo Suggestion"
"_EMAIL_NOTIFY_SUGGEST_ALBUM_PHOTO_DESCRIPTION";"This email is sent to the member when someone suggest him an album photo."
"_EMAIL_NOTIFY_SUGGEST_ALBUM_PHOTO_SUBJECT";"Album Photo Suggested"
"_EMAIL_NOTIFY_SUGGEST_ALBUM_PHOTO_BODY";"[header]

""[sender_title]"" has suggested to you to view ""[object_title]"" photo.

Please click the following link to view it:

<a href='http://[host][object_link]'>http://[host][object_link]</a>

[footer]
"


"ACTIVITY_TYPE_SUGGEST_ARTICLE"; "When people suggest to me an article"

"_EMAIL_NOTIFY_SUGGEST_ARTICLE_TITLE";"Article Suggestion"
"_EMAIL_NOTIFY_SUGGEST_ARTICLE_DESCRIPTION";"This email is sent to the member when someone suggest him an article."
"_EMAIL_NOTIFY_SUGGEST_ARTICLE_SUBJECT";"Article Suggested"
"_EMAIL_NOTIFY_SUGGEST_ARTICLE_BODY";"[header]

""[sender_title]"" has suggested to you to read ""[object_title]"" article.

Please click the following link to view it:

<a href='http://[host][object_link]'>http://[host][object_link]</a>

[footer]
"


"ACTIVITY_TYPE_SUGGEST_BLOG"; "When people suggest to me a blog"

"_EMAIL_NOTIFY_SUGGEST_BLOG_TITLE";"Blog Suggestion"
"_EMAIL_NOTIFY_SUGGEST_BLOG_DESCRIPTION";"This email is sent to the member when someone suggest him a blog."
"_EMAIL_NOTIFY_SUGGEST_BLOG_SUBJECT";"Blog Suggested"
"_EMAIL_NOTIFY_SUGGEST_BLOG_BODY";"[header]

""[sender_title]"" has suggested to you to view ""[object_title]"" blog.

Please click the following link to view it:

<a href='http://[host][object_link]'>http://[host][object_link]</a>

[footer]
"


"ACTIVITY_TYPE_SUGGEST_CLASSIFIED"; "When people suggest to me a classified"

"_EMAIL_NOTIFY_SUGGEST_CLASSIFIED_TITLE";"Classified Suggestion"
"_EMAIL_NOTIFY_SUGGEST_CLASSIFIED_DESCRIPTION";"This email is sent to the member when someone suggest him a classified."
"_EMAIL_NOTIFY_SUGGEST_CLASSIFIED_SUBJECT";"Classified Suggested"
"_EMAIL_NOTIFY_SUGGEST_CLASSIFIED_BODY";"[header]

""[sender_title]"" has suggested to you to view ""[object_title]"" classified.

Please click the following link to view it:

<a href='http://[host][object_link]'>http://[host][object_link]</a>

[footer]
"


"ACTIVITY_TYPE_SUGGEST_EVENT"; "When people suggest to me an event"

"_EMAIL_NOTIFY_SUGGEST_EVENT_TITLE";"Event Suggestion"
"_EMAIL_NOTIFY_SUGGEST_EVENT_DESCRIPTION";"This email is sent to the member when someone suggest him an event."
"_EMAIL_NOTIFY_SUGGEST_EVENT_SUBJECT";"Event Suggested"
"_EMAIL_NOTIFY_SUGGEST_EVENT_BODY";"[header]

""[sender_title]"" has suggested to you to attend ""[object_title]"" event.

Please click the following link to view it:

<a href='http://[host][object_link]'>http://[host][object_link]</a>

[footer]
"


"ACTIVITY_TYPE_SUGGEST_GROUP"; "When people suggest to me a group"

"_EMAIL_NOTIFY_SUGGEST_GROUP_TITLE";"Group Suggestion"
"_EMAIL_NOTIFY_SUGGEST_GROUP_DESCRIPTION";"This email is sent to the member when someone suggest him a group."
"_EMAIL_NOTIFY_SUGGEST_GROUP_SUBJECT";"Group Suggested"
"_EMAIL_NOTIFY_SUGGEST_GROUP_BODY";"[header]

""[sender_title]"" has suggested to you to join ""[object_title]"" group.

Please click the following link to view it:

<a href='http://[host][object_link]'>http://[host][object_link]</a>

[footer]
"

"ACTIVITY_TYPE_SUGGEST_MUSIC_PLAYLIST"; "When people suggest to me a music playlist"

"_EMAIL_NOTIFY_SUGGEST_MUSIC_PLAYLIST_TITLE";"Music Playlist Suggestion"
"_EMAIL_NOTIFY_SUGGEST_MUSIC_PLAYLIST_DESCRIPTION";"This email is sent to the member when someone suggest him a music playlist."
"_EMAIL_NOTIFY_SUGGEST_MUSIC_PLAYLIST_SUBJECT";"Music Playlist Suggested"
"_EMAIL_NOTIFY_SUGGEST_MUSIC_PLAYLIST_BODY";"[header]

""[sender_title]"" has suggested to you to listen ""[object_title]"" playlist.

Please click the following link to view it:

<a href='http://[host][object_link]'>http://[host][object_link]</a>

[footer]
"


"ACTIVITY_TYPE_SUGGEST_POLL"; "When people suggest to me a poll"

"_EMAIL_NOTIFY_SUGGEST_POLL_TITLE";"Poll Suggestion"
"_EMAIL_NOTIFY_SUGGEST_POLL_DESCRIPTION";"This email is sent to the member when someone suggest him a poll."
"_EMAIL_NOTIFY_SUGGEST_POLL_SUBJECT";"Poll Suggested"
"_EMAIL_NOTIFY_SUGGEST_POLL_BODY";"[header]

""[sender_title]"" has suggested to you to vote ""[object_title]"" poll.

Please click the following link to view it:

<a href='http://[host][object_link]'>http://[host][object_link]</a>

[footer]
"


"ACTIVITY_TYPE_SUGGEST_QUESTION"; "When people suggest to me a question"

"_EMAIL_NOTIFY_SUGGEST_QUESTION_TITLE";"Question Suggestion"
"_EMAIL_NOTIFY_SUGGEST_QUESTION_DESCRIPTION";"This email is sent to the member when someone suggest him a question."
"_EMAIL_NOTIFY_SUGGEST_QUESTION_SUBJECT";"Question Suggested"
"_EMAIL_NOTIFY_SUGGEST_QUESTION_BODY";"[header]

""[sender_title]"" has suggested to you to view ""[object_title]"" question.

Please click the following link to view it:

<a href='http://[host][object_link]'>http://[host][object_link]</a>

[footer]
"


"ACTIVITY_TYPE_SUGGEST_QUIZ"; "When people suggest to me a quiz"

"_EMAIL_NOTIFY_SUGGEST_QUIZ_TITLE";"Quiz Suggestion"
"_EMAIL_NOTIFY_SUGGEST_QUIZ_DESCRIPTION";"This email is sent to the member when someone suggest him a quiz."
"_EMAIL_NOTIFY_SUGGEST_QUIZ_SUBJECT";"Quiz Suggested"
"_EMAIL_NOTIFY_SUGGEST_QUIZ_BODY";"[header]

""[sender_title]"" has suggested to you to take ""[object_title]"" quiz.

Please click the following link to view it:

<a href='http://[host][object_link]'>http://[host][object_link]</a>

[footer]
"


"ACTIVITY_TYPE_SUGGEST_SUGGEST_PROFILE_PHOTO"; "When people suggest to me a profile photo"

"_EMAIL_NOTIFY_SUGGEST_SUGGEST_PROFILE_PHOTO_TITLE";"Profile Photo Suggestion"
"_EMAIL_NOTIFY_SUGGEST_SUGGEST_PROFILE_PHOTO_DESCRIPTION";"This email is sent to the member when someone suggest him a profile photo."
"_EMAIL_NOTIFY_SUGGEST_SUGGEST_PROFILE_PHOTO_SUBJECT";"Profile Photo Suggested"
"_EMAIL_NOTIFY_SUGGEST_SUGGEST_PROFILE_PHOTO_BODY";"[header]

""[sender_title]"" has suggested you a profile photo.

Please click the following link to view it:

<a href='http://[host][object_link]'>http://[host][object_link]</a>

[footer]
"


"ACTIVITY_TYPE_SUGGEST_VIDEO"; "When people suggest to me a video"

"_EMAIL_NOTIFY_SUGGEST_VIDEO_TITLE";"Video Suggestion"
"_EMAIL_NOTIFY_SUGGEST_VIDEO_DESCRIPTION";"This email is sent to the member when someone suggest him a video."
"_EMAIL_NOTIFY_SUGGEST_VIDEO_SUBJECT";"Video Suggested"
"_EMAIL_NOTIFY_SUGGEST_VIDEO_BODY";"[header]

""[sender_title]"" has suggested to you to view ""[object_title]"" video.

Please click the following link to view it:

<a href='http://[host][object_link]'>http://[host][object_link]</a>

[footer]
"

"ACTIVITY_TYPE_SUGGEST_PAGE"; "When people suggest to me a page"

"_EMAIL_NOTIFY_SUGGEST_PAGE_TITLE";"Page Suggestion"
"_EMAIL_NOTIFY_SUGGEST_PAGE_DESCRIPTION";"This email is sent to the member when someone suggest him a page."
"_EMAIL_NOTIFY_SUGGEST_PAGE_SUBJECT";"Page Suggested"
