"pagetitle-page-level-admin-permission";"Permissions"
"_EMAIL_PAGE_SUBSCRIPTION_REFUNDED_BODY";"[header]

Your page subscription has been refunded and is no longer active.

[page_subscription_title]
[page_subscription_description]

You may follow the link below to sign in.

[object_link]

[footer]"

"This is a list all packages. Use form to filter packages.";"Below you can view a list of available packages which are used by members on page creation process."
"PAGE_VIEWS_ADMIN_SUBSCRIPTION_INDEX_DESCRIPTION";"Browse and manage page subscriptions. The search box will look through page name, package, etc."
"STORE_PAGE_NEW_PRODUCT_DESCRIPTION_FORM";"Please provide detailed and clear information about your product. Your product will be available for your customers instantly."
"PAGE_Auto Approved_DESC";"Your page will be approved automatically and available for visitors instantly. Otherwise our staff member will check and approve your page manually."
"PAGE_Sponsored_DESC";"Your page is sponsored and highlighted in Pages Directory and advertised throughout our social network."
"PAGE_Featured_DESC";"Your page is featured and highlighted in Pages Directory and advertised throughout our social network."
"PAGE_Layout Editor_DESC";"You can customize look and feel of your page using our powerful Layout Editor."
"PAGE_Column Change_DESC";"You can customize columns of your page."
"Album_DESC";"Upload photos and create nice slideshows."
"Blog_DESC";"Create and publish your page blog."
"Discussion_DESC";"Place where your page fans can discuss and share topics."
"Documents_DESC";"Allows you to upload and share documents files from your computer in many supported file formats"
"Event_DESC";"Plan your page's events, invite your fans and discuss about the event."
"Music_DESC";"Upload your page's music and let your fans to listen and share."
"Video_DESC";"Submit youtube/vimeo and computer videos, let your fans to play and discuss."
"Contact_DESC";"Allows your visitors to easily contact you and send their questions, suggestions, business requests, etc"
"Rate_DESC";"Allows your fans to leave reviews for your page."
"Store_DESC";"Social e-Commerce feature allows you to sell your products and services, advertise throughout our social network."
"FAQ_DESC";"Allows you to create FAQ section on your page"
"PAGE_Change Package";"Change Package"
"PAGE_Your page does not have a package";"Your page does not have a package"
"PAGE_Upgrade";"Upgrade"
"PAGE_Edit your Store Settings - enable your api credentials to be able to sell your products etc.";"Add new products, edit details of existing products, enter your PayPal email to receive payments."
"PACKAGE_EDIT_TITLE";"Edit Package"
"PACKAGE_EDIT_DESC";"Edit your package details in the form below. Please note that changes aren't apply to pages which already subscribed to this package."
"PAGE_View your Store Statistics - check out the transactions to your store, view your products statistics etc.";"View your Store Statistics - check out your store transactions, view statistics per products, etc."
"MAKE_PACKAGE_DEFAULT_DESC";"Are you sure you want to assign the package <b>'%s'</b> as a Default? <br />All new and downgraded pages will be automatically subscribed to this package."
"DELETE_PAGE_PACKAGE_DESC";"Are you sure you want to delete the package <b>'%s'</b> ? <br />All pages subscribed to this package will be automatically downgraded to the default package."
"ADMIN_ACTIVITY_TYPE_PAGE_TOPIC_CREATE";"When someone creates a topic in Page"
"ADMIN_ACTIVITY_TYPE_PAGE_TOPIC_REPLY";"When someone replies in a topic in Page"

"Permission Settings";"Permissions"
"Page Widgets";"Page Widgets"
"Video Settings";"Video Settings"
"Default Layout Editor";"Default Layout"
"Page Subscriptions";"Subscriptions"
"Page Transactions";"Transactions"
"View Pages";"View Pages"
"No, do not allow create pages.";"No, do not allow create pages."
"Yes, allow create pages.";"Yes, allow create pages."
"No, do not allow edit columns.";"No, do not allow edit columns."
"Yes, allow edit columns.";"Yes, allow edit columns."
"No, do not allow layout editor.";"No, do not allow layout editor."
"Yes, allow layout editor.";"Yes, allow layout editor."
"Blog";"Blog"
"Discussion";"Discussion"
"Rate";"Rate"
"Registered";"Registered"
"Permission Mode";"Permission Mode"
"Member Level Mode";"Member Level Mode"
"Package Mode";"Package Mode"
"Your members can choose from any of the features/apps checked below when they decide who can use its on their pages.";"Your members can choose from any of the features/apps checked below when they decide who can use its on their pages."
"Page Features Privacy";"Page Features Privacy"
"How many videos will be shown per page? (Enter a number between 1 and 999)";"How many videos will be shown per page? (Enter a number between 1 and 999)"
"Missing Package";"Missing Package"
"PAGE_VIEWS_ADMIN_TRANSACTIONS_INDEX_DESCRIPTION";"Below you can view list of transactions for Page Subscriptions."
"Related Subscription";"Related Subscription"
"New plugin ""%1$s"" has been installed. You can find it in %2$s";"New plugin ""%1$s"" has been installed. You can find it in %2$s"
"Fields";"Fields"
"Not Featured";"Not Featured"
"Registered Members";"Registered Members"
"View All Results";"View All Results"
"There is no items matching your criteria.";"There are no items matching your criteria."
"Advanced Search - double click in input";"Advanced Search - double click in input"
"PAGE_Page Wall";"Page Wall"
"You cannot delete this member";"You cannot delete this member"
"Member has been deleted.";"Member has been deleted."
"{item:$subject} has added you on page {item:$object:$label} as Admin.";"{item:$subject} has added you on page {item:$object:$label} as Admin."
"{item:$subject} has deleted you from page {item:$object:$label}.";"{item:$subject} has deleted you from page {item:$object:$label}."
"ACTIVITY_TYPE_PAGE_ADD_ADMIN";"When someone adds you to a page team."
"ACTIVITY_TYPE_PAGE_DELETE_ADMIN";"When someone removes you from a page team."
"ACTIVITY_TYPE_POST_PAGE";"When someone posts things on feed on my page."
"ACTIVITY_TYPE_PAGE_LIKE";"When someone likes my page."
"Browse Pages";"Browse Pages"
"HE_Browse Pages";"Browse Pages"
"Recent Pages";"Recent Pages"
"PAGE_All Categories";"All Categories"
"Page Categories";"Categories"
"PAGE_All Locations";"All Locations"
"Page Locations";"Locations"
"Page Tags";"Popular Tags"
"page_Manage";"Manage"
"Sponsored Pages";"Sponsored Pages"
"Print Page";"Print Page"
"Sponsored Pages Carousel";"Sponsored Pages Carousel"
"Basic Information";"Basic Information"
"Manage Team";"Manage Team"
"Edit Layout";"Edit Layout"
"Manage Package";"Manage Package"
"Apps";"Apps"
"Edit Basic Information";"Edit Page Information"
"Change Photo";"Change Photo"
"Image has been successfully processed.";"Image has been successfully processed."
"Do you want to delete page photo? Doing so will set your photo back to the default photo.";"Do you want to delete page photo? Doing so will set your photo back to the default photo."
"Your photo has been deleted.";"Your photo has been deleted."
"delete photo";"delete photo"
"Map Overlay";"Map Overlay"
"Back to Dashboard";"Back to Dashboard"
"PAGE_ABC_All";"All"
"PAGE_ABC_Num";"#"
"Contacts";"Contacts"
"Promote";"Promote"
"Send Update";"Send Update"
"Expiration";"Expiration"
"Never";"Never"
"{item:$subject} likes your page {item:$object:$label}.";"{item:$subject} likes your page {item:$object:$label}."
"Page Abc symbols";"Alphabetic Filter Symbols"
"PAGE_SETTING_ABC";"Please enter here symbols(separated by commas) which should be included and displayed for alphabetical filtering on Browse Pages."
"PAGE_ADMIN_default layout editor";"As soon as new page is created it is pre-filled with basic set of widgets and layout columns according to Default Layout. Here you can customize look and widgets position of the Default Layout. Please just select widgets from the right panel and drag&drop them on layout according to your needs. If you would like to add a custom HTML code then please use `HTML Block` widget.<br />
NOTE: that default layout editor is applied only to newly created pages and doesn't apply to existing   pages.<br />
Please make sure that the selected column structure works for installed extensions, some of our extensions(like Page-Albums) have minimum width requirement."
"PAGE_Store app description";"This app allows you to sell products and services within the social network. You're free to sell services, tangible and digital products, set supported shipping locations, provide discounts, etc.<br /> Please check the links below to go ahead."

"PAGE_Show map";"Show map"
"PAGE_Hide map";"Hide map"

"Check-Ins Profile Thumbnails";"Members Checked-in"
"Check-Ins";"Check-Ins"

"Manage Claims";"Claims"

"PAGE_Your database has old formatted %s records. You need to upgrade them. Please click %s";"Your database has old formatted %s records. You need to upgrade them. Please click %s"
"Upgrade";"Upgrade"
"PAGE_There are %s old records. Please wait ...";"There are %s old records. Please wait ..."
"Claimable Page Creators";"Claimable Page Creators"
"Page Claims";"Page Claims"
"Separate users with commas.";"Separate users with commas."
"Add Member";"Add Member"
"Page Claims Processes";"Page Claims"
"Are you sure you want to delete the selected claims?";"Are you sure you want to delete the selected claims?"
"PAGE_CLAIMABLE_PAGE_CREATORS_DESC";"Claim Page functionality allows to create page with successive opportunity to transfer rights over this Page to its rightholder. It protects your site from illegal creation of Pages that run counter to rights of ownership. Below you can list all members who can create claimable pages i.e. members whose main target is creation of such pages."
"PAGE_CLAIM_PROCESS_DESCRIPTION";"Browse claim requests below and accept, decline or put on hold them. Click on 'Take action' link in order to view more information about the claim and process further action."
"Claimer Name";"Claimer Name"
"Claimer Email";"Claimer Email"
"Claimed Date";"Claimed Date"
"Claimer Phone Number";"Claimer Phone Number"
"About Claimer and Page";"About Claimer and Page"
"Approve";"Approve"
"Declined";"Declined"
"status";"status"
"option";"option"
"view result";"view result"
"take action";"take action"
"Details";"Details"
"Below are the details of the claim request that was approved.";"This claim has been approved, please check details below."
"Below are the details of the claim request that was declined.";"This claim has been declined, please check details below."
"Take an Action";"Take an Action"
"Please take an appropriate action on the claim for this page: ";"Please check this claim details below and take an appropriate action: "
"After save this form, an email will be sent to this claimer stating the action taken by you.";"Claimer will be notified via email as soon as you approve or decline this claim."


"_EMAIL_PAGE_CLAIM_TITLE";"Page Claim Email"
"_EMAIL_PAGE_CLAIM_DESCRIPTION";"Page Claim Email"

"_PAGE_CLAIM_TERMS_OF_SERVICE";"<ol><li>Sending Claim request, you hearby assert that you are an owner or associate of the content that is presented on this page and have the express authority to own and/or manage the page on this site.</li><li>Administrator keeps the right to withdraw or move ownership rights of this page according to any reason including wrong presentation of information on this Page and not correct ownership identification.</li></ol>"
"PAGE_CLAIM_APPROVED";"Thank you for the claim. We've carefully checked and approved your claim. Please click the following link to view your page:"
"PAGE_CLAIM_DECLINED";"Thank you for the claim. Unfortunately we have to decline your claim for the following page:"

"_EMAIL_PAGE_CLAIM_SUBJECT";"Claiming a Page"
"_EMAIL_PAGE_CLAIM_BODY";"[header]
Hello [claimer_name],

""[message]""
[page]

[footer]"


"Claim a Page";"Claim a Page"
"Claim this Page";"Claim this Page"
"Start typing the name of the page, choose only one page";"Start typing the name of the page, choose only one page"
"Your Name";"Your Name"
"Your Email";"Your Email"
"Your Telephone";"Your Telephone"
"About You and the Page";"About You and the Page"
"Submit Notice";"Submit Notice"
"ClAIM_PAGE_DESC";"This form is to make a claim for a Page on this site in order to pretend your rights. Make sure that you own right over this page. Your request will be considered by Administrator."
"I have read and agree to the <a href='javascript:void(0);' onclick=window.open('%s','mywindow','width=500,height=300')>terms of service</a>.";"I have read and agree to the <a href='javascript:void(0);' onclick=window.open('%s','mywindow','width=500,height=300')>terms of service</a>."
"You have already claimed this page, your claim is under consideration of Administrator.";"You have already claimed this page, your claim is under consideration of Administrator."
"You have already claimed this page, your claim has been declined by Administrator.";"You have already claimed this page, your claim has been declined by Administrator."
"This page not found, please choose page from drop down choice list.";"This page not found, please choose page from drop down choice list."
"This page has not been found, please choose page from drop down choice list.";"This page has not been found, please choose page from drop down choice list."
"approximately %s %s"; "approximately %s %s"

"Advanced Search"; "Advanced Search"
"More options...";"More options..."
"More options";"More options"
"(within)";"(within)"
"Within";"Within"
"(address, city, state, or country)";"(address, city, state, or country)"
"(type in keywords, or page name)";"(type in keywords, or page name)"
"What";"What"
"My Location";"Search by Location"
"20 Miles";"20 Miles"
"50 Miles";"50 Miles"
"100 Miles";"100 Miles"
"250 Miles";"250 Miles"
"500 Miles";"500 Miles"
"750 Miles";"750 Miles"
"1000 Miles";"1000 Miles"

"label";"label"
"Default";"Default"
"Local Business";"Local Business"
"Automotive";"Automotive"
"Banking and Finance";"Banking and Finance"
"Bar";"Bar"
"Cafe";"Cafe"
"Club";"Club"
"Education";"Education"
"Event Planning Service";"Event Planning Service"
"Health and Beauty";"Health and Beauty"
"Hotel";"Hotel"
"Museum";"Museum"
"Real Estate";"Real Estate"
"Restaurent";"Restaurent"
"Store";"Store"
"Travel";"Travel"
"Public Figure""Public Figure"
"Actor";"Actor"
"Band";"Band"
"Model";"Model"
"Musician";"Musician"
"Sports Team";"Sports Team"
"Writer";"Writer"

"Street";"Street"
"This is the home page for members.";"This is the home page for members."
"Tabs";"Tabs"
"Displays the page's check-ins in detail in tab.";"Displays the page's check-ins in detail in tab."
"Check-Ins Tab";"Check-Ins Tab"
"Displays the page's links.";"Displays the page's links."
"Inserts any HTML of your choice.";"Inserts any HTML of your choice."
"Displays thumbnails of members who checked-in. Please put this widget on the right side.";"Displays thumbnails of members who checked-in. Please put this widget on the right side."
"Displays the page's likes, views. Statistics(graphic) - only team members are allowed to view.";"Displays the page's likes, views. Statistics(graphic) - only team members are allowed to view."


"Add Agree Terms";"Add Agree Terms"
"Edit Agree Terms";"Edit Agree Terms"
"terms of use";"terms of use"
"You must agree to the terms of use!";"You must agree to the terms of use!"
"You should choose profile type!";"You should choose profile type!"
"I have read and agree to the ";"I have read and agree to the "
"Agree";"Agree"
"Don't Agree";"Don't Agree"
"Recent";"Recent"
"%s people like it.";"%s people like it."
"%s person like it.";"%s person like it."
"No one like it yet.";"No one like it yet."
"Next &#187;";"Next &#187;"
"{item:$subject} has added you on page {item:$object:$label} as Employer.";"{item:$subject} has added you on page {item:$object:$label} as Employee."
"Are you sure you want to change page team type?";"Are you sure you want to change this member status in page team?"
"Change";"Change"
"Employer";"Employee"
"Employers";"Employees"
"Member has been changed.";"Member status has been changed."
"Change Page Team Type";"Change Member Status"


"PAGE_EDIT_TITLE";"Edit Basic Information"
"PAGE_EDIT_DESCRIPTION";"Add or edit information about your page."
"PAGE_PRIVACY_TITLE";"Configure Privacy"
"PAGE_PRIVACY_DESCRIPTION";"Configure your page privacy to set who can view page, post things, etc."
"PAGE_PHOTO_TITLE";"Upload Page Photo"
"PAGE_PHOTO_DESCRIPTION";"Add or change your page's photo."
"PAGE_TEAM_TITLE";"Add Admins and Employees to Team"
"PAGE_TEAM_DESCRIPTION";"Add admins and allow them moderate things in page, or just add employees who are just listed in your page team."
"PAGE_BADGE_TITLE";"Get Badge"
"PAGE_BADGE_DESCRIPTION";"Request a badge which perfectly fits your page and attract more visitors."
"PAGE_APPS_TITLE";"Page apps"
"PAGE_APPS_DESCRIPTION";"You Can See List of Applications which are available to your page"
"PAGE_LAYOUT_TITLE";"Edit Page Layout"
"PAGE_LAYOUT_DESCRIPTION";"Edit your page layout and change widgets position."
"PAGE_STATISTIC_TITLE";"Check Visitors Statistics"
"PAGE_STATISTIC_DESCRIPTION";"Check visitors statistics and geographic locations of visits."

"PAGE_CONTACT_TITLE";"Enable Contact Form"
"PAGE_CONTACT_DESCRIPTION";"Configure e-mail addresses using which visitors can contact you."
"PAGE_FAQ_TITLE";"Add FAQs"
"PAGE_FAQ_DESCRIPTION";"Add frequently asked questions, their answers and any helpful information."
"PAGE_STORE_TITLE";"Sell Products & Services"
"PAGE_STORE_DESCRIPTION";"Enable your store application, add products and start selling."
"PAGE_PROMOTE_TITLE";"Promote Page"
"PAGE_PROMOTE_DESCRIPTION";"Promote your page using social widgets which can be put on other websites and blogs."
"PAGE_UPDATE_TITLE";"Send Announcement"
"PAGE_UPDATE_DESCRIPTION";"Send announcement about latest news, plans and promotions to members who liked your page."
"PAGE_INVITE_TITLE";"Invite Friends"
"PAGE_INVITE_DESCRIPTION";"Import your contacts from popular social networks and email services and invite to check your page."

"&nbsp;";"&nbsp;"
"Staff";"Staff"
"Get Started";"Get Started"
"Edit My Page >>";"Edit Page >>"
"My Page's Privacy >>";"Edit Privacy >>"
"My Page's Photo >>";"Change Photo >>"
"My Page's Team >>";"Manage Team >>"
"My Page's Badges >>";"Request Badge >>"
"My Page's contact >>";"Enable Contact Form >>"
"My Page's FAQ >>";"Add FAQs >>"
"My Store Product's >>";"Sell Products >>"
"Promote >>";"Promote Page >>"
"Seand Updates >>";"Send Announcement >>"
"Invite >>";"Invite Friends >>"
"My Page's Layout >>";"Edit Page Layout >>"
"My Page's Statistics >>";"Check Statistics >>"
"DEFAULT_PACKAGE_ENABLED_DESCRIPTION";"Use this when package mode is enabled. If enabled expired pages will be removed to default package and will be shown to users. If disabled expired pages will be removed to default package but users can not see the page and owners will be automatically redirected to package choose page."
"Map Mode";"Map Mode"
"Enable Default Package";"Enable Default Package"
"Choose which mode do you want to see in browse page by default";"Choose which mode do you want to see in browse page by default"
"Browse Mode";"Browse Mode"
"Unpackaged";"Unpackaged"
"Items Per Page";"Items Per Page"
"Submit";"Submit"
"Package";"Package"
"Owner only";"Owner only"
"Who can post photos?";"Who is allowed to upload photos in the page?"
"Page Album Posting Privacy";"Album Posting Privacy"
"Who can post blogs?";"Who is allowed to post blog posts in the page?"
"Page Blog Posting Privacy";"Blog Posting Privacy"
"Who can post discussions?";"Who is allowed to open discussion thread in the page?"
"Page Discussion Posting Privacy";"Discussion Posting Privacy"
"Who can post documents?";"Who is allowed to post documents in the page?"
"Page Document Posting Privacy";"Document Posting Privacy"
"Who can post events?";"Who is allowed to create events in the page?"
"Page Event Posting Privacy";"Event Posting Privacy"
"Who can post playlists?";"Who is allowed to upload music in the page?"
"Page Music Posting Privacy";"Music Posting Privacy"
"Who can post videos?";"Who is allowed to upload videos in the page?"
"Page Video Posting Privacy";"Video Posting Privacy"
"Who can post Store Products?";"Who is allowed to post products for sale in the page?"
"Store Posting Privacy";"Store Posting Privacy"
"SPONSORED";"SPONSORED"
"Url is Empty";"Url is Empty"
"Displays the page's staff list.";"Displays the page's staff list."
"Displays the page's reviews.";"Displays the page's reviews."
"Displays a form which allows to invite friends.";"Displays a form which allows to invite friends."
"Displays the page store products.";"Displays the page store products."
"Page Profile Check-Ins";"Page Profile Check-Ins"
"Page Badges Icons";"Page Badges Icons"
"Yes, do not display on mobile site.";"Yes, do not display on mobile site."
"No, display on mobile site.";"No, display on mobile site."
"Show sub menu at x containers.";"Show sub menu at x containers."
"Max Tab Count";"Max Tab Count"
"Hide on mobile site?";"Hide on mobile site?"
"Editing: Tab Container";"Editing: Tab Container"

"_EMAIL_PAGE_EXPIRED_TITLE";"Page Expired Email"
"_EMAIL_PAGE_EXPIRED_DESCRIPTION";"Send Email to the Owner of Expired Page"
"_EMAIL_PAGE_EXPIRED_SUBJECT";"Your Page Expired"
"PAGE_EXPIRED_MESSAGE";"Your Page have been expired and downgraded, please go to 'choose package' page and choose package for your page"
"_EMAIL_PAGE_EXPIRED_BODY";"[header]
Hello [owner_name],

""[message]""
[page]

[footer]"


"(number of items to show)";"(number of items to show)"
"Count";"Count"
"ACTIVITY_TYPE_PAGE_ADD_EMPLOYER";"When page owner adds some user as an employee to his/her page"
"PAGE_EDITOR_PROFILE_Standart";"Standart"
"PAGE_EDITOR_PROFILE_Timeline";"Timeline"
"PAGE_EDITOR_PROFILE_Timeline not converted";"Not converted!"
"Please wait...";"Please wait..."

"This is the browse page for pages";"Browse Pages"
"pagetitle-page-get-started-page";"Get Started"
"pagetitle-page-manage-index";"Manage Pages"
"pagetitle-page-edit-page";"Edit Page Information"
"pagetitle-page-privacy-page";"Configure Privacy"
"pagetitle-page-edit-photo-page";"Edit Page Photo"
"pagetitle-page-manage-admins-page";"Manage Page Team"
"change to employer";"change to employee"
"change to admin";"change to admin"
"pagetitle-page-badges-page";"Request Badge"
"pagetitle-page-index-editor";"Page Layout Editor"
"pagetitle-page-visitors-statistics";"Page Visitors Statistics"
"pagetitle-page-views-statistics";"Page Views Statistics"
"pagetitle-page-map-statistics";"Page Visitors by Locations"
"pagetitle-page-choose-package";"Choose Package"
"URL *";"URL *"
"Page Contacts";"Contact Details"
"Take Print";"Take Print"
"likes this";"likes this"
"category";"category"
"Your pages package is default package. Please change to another package to get more options";"Your pages package is default package. Please change to another package to get more options"
"Price";"Price"
"Map";"Map"
"Admin_Import_Title";"Import From CSV File"
"Admin_Import_Description";"Using this form you can import pages from any CSV file. It is enough to have a CSV file with records of pages you would like to import. Please make sure that your CSV file is in correct format.
If you would like to increase a speed of importing process you need to disable an adding of "Map Marker", in this case pages won't be displayed on map, also you can adding of activity of posts."
"PAGE_There are %s pages. Please wait ...";"It is importing the pages. Please wait ..."
"PAGE_All Pages have been imported";"All pages have been imported"
"PAGE_There is no pages or Sitepage module doesn\'t exsists";"There is no pages or Sitepage module doesn\'t exsists"
"There is no pages to import";"There are no pages to import"
"Import Pages";"Import Pages"
"Import From CSV File";"Import from CSV File"
"Import From Site Page";"Import from Directory/Pages plugin"
"ADMIN_ACTIVITY_TYPE_PAGE_COVER_PHOTO_UPDATE";"When a user uploads cover on timeline"
"_ACTIVITY_ACTIONTYPE_PAGE_COVER_PHOTO_UPDATE";"Cover photo is updated on page timeline"
"Admin_Import_Configure_Title";"Process of importing" 
"Admin_Import_Configure_Description";"At the left is shown the list of fields of Pages plugin, red fields are required for completion, at right columns with drop down options which are needed to be selected with accordance of meaning of your page"
"Choose Owner";"Please choose the owner for the imported pages, just start typing user name"
"File";"File"
"pagetitle-page-index-admin-import";"Import pages from CSV file"
"Owner *";"Owner *" 
"Category *";"Category *"
"pagetitle-page-sitepage-admin-import";"Import pages from Directory/Pages plugin"
"%s Pages have been imported";"%s Pages have been imported"
"Import From SitePage";"Import From Directory/Pages plugin"
"If you have pages in SitePage plugin, You can import them";"If you have pages in Directory/Pages plugin then you can import them to Pages plugin"
"There is %s pages, If you want to import pages, click %s";"There are %s pages, if you would like to import pages, click %s"
"Choose which unit do you want to use in \"Advanced Search\" and \"Browse Locations\" widgets";"Choose which unit do you want to use in \"Advanced Search\" and \"Browse Locations\" widgets"
"Preferred unit system for displaying distance";"Preferred unit system for displaying distance"
"Miles";"Miles"
"Km (Kilometers)";"Km (Kilometers)"
"Choose pages to add to favorites list";"Choose pages to add to favorites list"
"city";"city"
"Adv Search";"Adv Search"
"Set";"Set"
"Others";"Others"
"Add Category Set";"Add Category Set"

"SORT_PAGES_BY_ACTIVE_OFFERS_DESCRIPTION";"Pages with active offers will be major at displaying by priority than other pages on Browse Pages."
"Sort Pages By Active Offers";"Sort Pages By Active Offers"
"Page_Team_Add";"Add"
"PAGE_CATEGORIES_TIP";"To create new category go to \"Fields\" section and click on \"Add new Category\" button. <br /> For editing the name of category set please click on it's title."
"Seperator";"Seperator"
"Imported Files";"Imported Files"
"File Name";"File Name"
"Pages Imported";"Pages Imported"
"page_import_start_0";"start"
"page_import_start_1";"continue"
"pages_admin there is no files";"There is no files"
"Are you sure you want to delete the selected files?";"Are you sure you want to delete the selected files?"
"Creation Date";"Creation Date"

"PAGE_IMPORT_MARKER_DESC";"Generate marker of the page (coordinates on the map)"
"PAGE_IMPORT_MARKER_LABEL";"Map Marker"
"PAGE_IMPORT_ACTIVITY_DESC";"Generate ""page created"" activity post on Activity Feed"
"PAGE_IMPORT_ACTIVITY_LABEL";"Activity Post"
"PAGE_Page Style";"Page Style"
"If enabled, advertisements will be shown on left side of profile page. Page owners can't remove the widget.";"If enabled, advertisements will be shown on left side of profile page. Page owners can't remove the widget."
"Community Ads Integration with Pages Plugin (not Timeline)";"Community Ads Integration with Pages Plugin (not Timeline)"
"If you enable this feature, your members will be able to customize the colors and fonts of their pages by altering their CSS styles.";"If you enable this feature, your members will be able to customize the colors and fonts of their pages by altering their CSS styles."
"Add your own CSS code above to give your page profile a more personalized look.";"Add your own CSS code above to give your page profile a more personalized look."
"Display Browse Reviews";"Display Browse Reviews"
"If enabled, the last reviews of every page will be shown.";"If enabled, the last reviews of every page will be shown."
"There is no reviews";"There is no reviews"
"PAGE_Posted by";"Posted by"
"PAGE_%s comment";"%s comment";"%s comments"
"PAGE_%s like";"%s like";"%s likes"
"Page_Create_Own_Page";"Create a Page >>"
"{item:$subject} has posted on your {item:$object:$label:$action}.";"{item:$subject} has posted on your {item:$object:$label:$action}."
"Select";"Select"
"Duplicate Existing Page Type?";"Duplicate Existing Page Type?"
"Page";"Page"