"Content Management";"Content Management"
"Reports";"Reports"
"Global Settings";"Global Settings"
"Deleted Successfully.";"Deleted Successfully."
"Dismissed Successfully.";"Dismissed Successfully."
"Delete Item?";"Delete Item?"
"Are you sure that you want to delete this content? It will not be recoverable after being deleted.";"Are you sure that you want to delete this content? It will not be recoverable after being deleted."
"Delete";"Delete"
"Moderations";"Moderations"
"Moderation";"Moderation"
" or ";" or "
"cancel";"cancel"
"Moderation Plugin";"Moderation Plugin"
"Delete Selected";"Delete Selected"
"Refesh Data";"Refesh Data"
"Module Name";"Module Name"
"Title";"Title"
"Creator";"Creator"
"Creation Date";"Creation Date"
"Action";"Action"
"delete";"delete"
"Refesh Data";"Refesh Data"
"There are no content yet.";"There are no content yet."
"Dismiss Report?";"Dismiss Report?"
"Are you sure that you want to dismiss this report?";"Are you sure that you want to dismiss this report?"
"Status";"Status"
"Enabled";"Enabled"
"Disabled";"Disabled"
"Enable Selected";"Enable Selected"
"Disable Selected";"Disable Selected"
"There are no modules yet.";"There are no modules yet."
"Deleted Unsuccessfully.";"Deleted Unsuccessfully."
"Dismissed Unsuccessfully.";"Dismissed Unsuccessfully."
"There are currently no outstanding reports.";"There are currently no outstanding reports."
"Your changes have been saved";"Your changes have been saved"
"Are you sure you want to delete the selected items?";"Are you sure you want to delete the selected items?"
"view content";"view content"
"This item is not existed!";"This item is not existed!"