"STORE_All Categories";"All Categories"
"STORE_VIEWS_SCRIPTS_ADMINPINDEX_PRODUCTS_DESCRIPTION";"Store plugin allows you to sell own products and services. If you would like your members to sell products, then you need to have <a href=""http://anonym.to/http://www.hire-experts.com/social-engine/pages-se4-plugin"" target=""_blank"">Pages plugin</a> and <a href=""http://anonym.to/http://www.hire-experts.com/socialengine-pages-plugin-extensions"" target=""_blank"">its extensions</a> installed. So members will be able to create own page on your social network, promote and provide support on this page.<br />
The products of your store are listed here. If you need to search for a specific product, enter your search criteria in the fields below."
"%s product found.";"%s product found.";"%s products found."
"STORE_Editing Store Category";"Editing Store Category"
"STORE_Rename Category";"Rename Category"
"STORE_Delete Category";"Delete Category"
"STORE_Create New Category";"Create New Category"
"STORE_Product Title";"Product Title"
"STORE_Simple";"Simple"
"STORE_Discount";"Discount"
"STORE_Price Type";"Price Type"
"STORE_Product Price";"Product Price"
"STORE_Payment Currency";"Payment Currency"
"STORE_Product List Price";"Price without the discount"
"STORE_Quantity";"Quantity"
"STORE_Amount of product for sell";"Quantity of available products for sell"
"STORE_Add Product";"Add Product"
"STORE_PRICE_TYPE_DESCRIPTION";"If you have a discount for your product then choose `Discount` type which shows cross outed and discounted price for attraction of your potential customers."
"STORE_LIST_PRICE_DESCRIPTION";"This cross outed price is shown beside the discounted price for attraction of potential customers."
"STORE_Add to Cart";"Add to Cart"
"Share Product";"Share Product"
"STORE_Store";"Store"
"HE - Store";"HE - Store"
"STORE_Browse Products";"Browse Products"
"STORE_My Products";"My Products"
"STORE_min";"min"
"STORE_max";"max"
"STORE_Add New Product";"Add New Product"
"STORE_Checkout";"Checkout"
"STORE_VIEWS_SCRIPTS_TRANSACTION_GATEWAY_DESCRIPTIONS";"You are on the way to purchase the selected products. Please select a payment option below and you will be taken to a secure checkout area where you can easily complete your purchase. Remember to continue back to our site after your purchase."
"STORE_sponsored0";"set sponsored"
"STORE_sponsored1";"set usual"
"STORE_featured0";"set featured"
"STORE_featured1";"set usual"
"ADMIN_STORE_TITLE";"Social Network's Store"
"ADMIN_STORE_DESCRIPTION";"Official store of social network"
"_EMAIL_STORE_TRANSACTION_PENDING_TITLE";"Store Transaction Pending"
"_EMAIL_STORE_TRANSACTION_PENDING_DESCRIPTION";"This is the email that gets sent to a member when their payment for a product is pending."
"_EMAIL_STORE_TRANSACTION_PENDING_SUBJECT";"Your payment is pending"
"_EMAIL_STORE_TRANSACTION_PENDING_BODY";"[header]

Thank you for purchasing from [store_title] store. Your payment is pending,
awaiting completion of the transaction. Your product will be activated soon,
we will notify you by email when it is ready.
Thank you for your patience.

[footer]"

"_EMAIL_STORE_TRANSACTION_OVERDUE_TITLE";"Store Transaction Overdue"
"_EMAIL_STORE_TRANSACTION_OVERDUE_DESCRIPTION";"This is the email that gets sent to a member when their payment for a product is overdue."
"_EMAIL_STORE_TRANSACTION_OVERDUE_SUBJECT";"Your payment is overdue"
"_EMAIL_STORE_TRANSACTION_OVERDUE_BODY";"[header]

Your payment is overdue because of a failed or missed payment.

Your order details:
  [order_details]

Your transaction details:
  [transaction_details]

Please follow the link below to try again.

[object_link]

[footer]"

"_EMAIL_STORE_TRANSACTION_CANCELLED_TITLE";"Store Transaction Cancelled"
"_EMAIL_STORE_TRANSACTION_CANCELLED_DESCRIPTION";"This is the email that gets sent to a member when their payment for a product is cancelled"
"_EMAIL_STORE_TRANSACTION_CANCELLED_SUBJECT";"Your payment has been cancelled"
"_EMAIL_STORE_TRANSACTION_CANCELLED_BODY";"[header]

Your payment has been cancelled.

Your order details:
  [order_details]

Your transaction details:
  [transaction_details]

Please follow the link below to try again.

[object_link]

[footer]"

"_EMAIL_STORE_TRANSACTION_REFUNDED_TITLE";"Store Transaction Refunded"
"_EMAIL_STORE_TRANSACTION_REFUNDED_DESCRIPTION";"This is the email that gets sent to a member when their payment for a product is refunded"
"_EMAIL_STORE_TRANSACTION_REFUNDED_SUBJECT";"Your payment has been refunded"
"_EMAIL_STORE_TRANSACTION_REFUNDED_BODY";"[header]

Your payment has been refunded.

Your order details:
  [order_details]

Your transaction details:
  [transaction_details]

Please follow the link below to try again.

[object_link]

[footer]"

"_EMAIL_STORE_TRANSACTION_SUCCESS_TITLE";"Store Transaction Completed Successfully"
"_EMAIL_STORE_TRANSACTION_SUCCESS_DESCRIPTION";"This is the email that gets sent to a member when their payment for a product is completed successfully"
"_EMAIL_STORE_TRANSACTION_SUCCESS_SUBJECT";"Your payment has been completed"
"_EMAIL_STORE_TRANSACTION_SUCCESS_BODY";"[header]

Thank you for purchasing from our store. Your payment has been completed successfully.

Your order details:
  [order_details]

Your transaction details:
  [transaction_details]

[object_link]

[footer]"

"STORE_Search Product";"Search Products"
"STORE_Product Categories";"Categories"
"STORE_Product Tags";"Tags"
"STORE_Product Of The Day";"Product Of The Day"
"STORE_Featured Products";"Featured Products"
"STORE_Sponsored Products";"Sponsored Products"
"STORE_Products";"Products"
"STORE_Store Locations";"Store Locations:"
"STORE_Store Categories";"Store Categories:"
"STORE_Store Of The Day";"Store Of The Day"
"STORE_Store Tags";"Store Tags"
"STORE_Popular Stores";"Popular Stores"
"More Products";"More Products"
"Upload complete.";"Upload has been completed."
"Delete Product";"Delete Product"
"Are you sure you want to delete this product?";"Are you sure you want to delete this product?"
"STORE_FANCY_UPLOAD_DESCRIPTION";"This form is just an example fallback for the unobtrusive behaviour of FancyUpload. If this part is not changed, something must be wrong with your code."
"STORE_UPLOAD_A_PHOTO_DESCRIPTION";"Click ""Add Photos"" to select one or more photos from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, click the button below your photo list to save them to your product."
"Main Photo";"Main Photo"
"Submitted by";"Submitted by"
"Uncategorized";"Uncategorized"
"You do not have any products yet.";"You do not have any products yet."
"Get started by %1$screating%2$s your first product.";"Get started by %1$screating%2$s your first product."
"Store Plugin";"Store Plugin"
"STORE_Create your own field system in Store Plugin.";"You and your members will be asked to provide some information about their products when submitting or editing them. Create some fields that allow your members to describe their product. To reorder the product fields, click on their names and drag them up or down. If you want to show different sets of fields to different types of products, you can create multiple product types". This is useful, for example, if you want your community to have different types of products(Mobiles devices, Musical Instruments, Cars), each with a different set of product fields."
"Product Photos";"Preview Photos"
"Edit main settings";"Edit main settings"
"Edit photos";"Edit photos"
"List of products";"List of products"
"%s photo";"%s photo";"%s photos"
"STORE_Category";"Category"
"Price";"Price"
"pagetitle-store-index-transactions";"Store Transactions"
"STORE_PAYMENT_PENDING_THANK_YOU";"Thank you for submitting your payment.
Your payment is currently pending - you will be informed when we are notified that the payment has completed successfully.
Please return to your cart page when you receive an email notifying you that the payment has completed."
"STORE_REQUEST_TRANSACTION_PENDING_THANK_YOU";"Your transaction is currently pending - you will be informed when it is completed successfully"
"Back to Cart";"Back to Cart"
"Recent";"Recent"
"STORE_Sponsored";"Sponsored"
"STORE_Featured";"Featured"
"STORE_There is no products.";"There are no products."
"updated";"updated"
"views";"views"
"likes";"likes"
"Map";"Map"
"There are no stores.";"There are not any available stores."
"Store Home";"Store Home"
"Cart";"Cart"
"This is the home page for stores";"This is the home page for stores"
"This is the browse page for products";"This is the browse page for products"
"This is the browse page for stores";"This is the browse page for stores"
"This is a store product's profile.";"This is a store product's profile."
"This is a member's cart page.";"This is a member's cart page."
"{item:$subject} posted a new product:";"{item:$subject} posted a new product:"
"{actors:$subject:$object} posted a new product:";"{actors:$subject:$object} posted a new product:"
"{item:$subject} commented on {item:$owner}'s {item:$object:product}: {body:$body}";"{item:$subject} commented on {item:$owner}'s {item:$object:product}: {body:$body}"
"{item:$subject} added {var:$count} photo(s) to the product {item:$object}:";"{item:$subject} added {var:$count} photo(s) to the product {item:$object}:"
"Not Featured";"Not Featured"
"Not Sponsored";"Not Sponsored"
"Fields";"Fields"
"Level Settings";"Level Settings"
"Yes, allow comment/like products.";"Yes, allow comment/like products."
"No, do not allow view products.";"No, do not allow view products."
"Yes, allow view products.";"Yes, allow view products."
"No, do not allow order products.";"No, do not allow order products."
"Yes, allow order products.";"Yes, allow order products."
"STORE_FORM_ADMIN_LEVEL_COMMENT_DESCRIPTION";"Do you want to let members comment and like products?"
"Allow Product Comment/Like?";"Allow commenting and likes of Product?"
"STORE_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"Do you want to let members view products?"
"Allow Product View?";"Allow Viewing Products?"
"STORE_FORM_ADMIN_LEVEL_ORDER_DESCRIPTION";"Do you want to let members order products?"
"Allow Product Ordering?";"Allow Product Ordering?"
"Store Level Settings";"Store Level Settings"

"Store";"Store"
"STORE_Stores";"Stores"
"Cart Browse";"Cart - Browse"
"Cart Checkout";"Cart - Checkout"
"Cart Stores";"Cart - Stores"
"Navigation Tabs";"Navigation Tabs"
"Product Browse";"Browse Products"
"Product Categories";"Product Categories"
"Product Categories Horizontal";"Product Categories in a Nice Block"
"Product Featured Carousel;"Featured Products Carousel"
"Product Footer Products";"Random Products in Site Footer"
"Product Information";"Product Information"
"Product Of The Day";"Product Of The Day"
"Product Options";"Product Options"
"Product Search";"Product Search"
"Product Side Products";"Random Products in Sidebar"
"Product Slider";"Random Products Slider"
"Product Sponsored Carousel";"Sponsored Products Carousel"
"Product Status";"Product Status"
"Product Tags";"Product Tags"
"Store Browse";"Browse Stores"
"STORE_Browse Stores";"Browse Stores"
"Store Categories";"Store Categories"
"Store Locations";"Store Locations"
"Store Of The Day";"Store Of The Day"
"Store Popular Stores";"Popular Stores"
"Store Popular Tags";"Popular Stores Tags"
"Store Search";"Store Search"
"Store Slider";"Stores Slider"

"STORE_Edit Product";"Edit Product"
"My Stores";"My Stores"
"STORE_Your cart is empty";"Your cart is empty"
"Random Products";"Random Products"
"Popular Products";"Popular Products"
"STORE_Back to Store";"Back to Store"
"STORE_Back to Products";"Back to Products"

"STORE_Product Statistics";"Product Statistics"
"_CORE_ADMIN_STATS_GROSS_";"Gross Amount"
"_CORE_ADMIN_STATS_ITEMS_";"Transactions Count"
"STORE_Products Chart";"Products Chart"
"STORE_Products List";"Products List"
"STORE_Stores List";"Stores List"
"STORE_Stores Chart";"Stores Chart"
"STORE_Store Transaction Statistics";"Sales Statistics for Stores"
"STORE_Store List Statistics";"Sales Statistics grouped by Stores"

"_CORE_ADMIN_STATS_STORE-GROSS_";"Gross Amount"
"_CORE_ADMIN_STATS_TRANSACTIONS_";"Transactions Count"
"_CORE_ADMIN_STATS_COMMISSION_";"Commission Count"
"%s store found.";"%s store found.";"%s stores found."
"_AUDIO_UPLOAD_DESCRIPTION";"Click ""Add Audio"" to select one or more audio files from your computer. After you have selected the audio files, they will begin to upload right away. When your upload is finished, click the button below the audio files list to save them to your product."
"%s product is checked out.";"%s product is checked out.";"%s products are checked out."
"Payment Date";"Payment Date"
"STORE_Removed";"Removed"
"STORE_Commission fee (%)";"Percentage Commission Fee (%)"
"STORE_Commission Fee as a PERCENT";"You can set percentage fee for Stores on your site and earn percentage from each sale. Set it at 0 if you don't want to apply any commission fee to sales. Format: not float, only integer - 0-100"
"STORE_Fixed Commission fee";"Fixed Commission Fee"
"STORE_Fixed Commission Fee Description";"You can set fixed commission fee for Stores on your site and earn fixed amount from each sale. Set it at 0 if you don't want to apply any commission fee to sales."
"STORE_Gateway Settings";"Gateway Settings"
"STORE_Enable your gateway to view and sell your products on Browse Products Page.";"Enable your gateway to view and sell your products on Browse Products Page."
"STORE_There no products has been sold yet.";"Products have not been sold yet."
"STORE_There no transaction has been done yet.";"There are no transactions."
"STORE_Product Type";"Product Type"
"STORE_PRODUCT_TYPE_DESCRIPTION";"Choose ""Intangible"" product type and downloadable trading will be available for your customers. Intangible product type is intended for trading of music, software, image, video, etc. Otherwise left it is tangible product."
"STORE_Digital";"Intangible"
"STORE_Tangible";"Tangible"
"STORE_View Product";"View Product"
"STORE_Manage File";"Manage File"
"STORE_Manage photos";"Manage preview photos"
"STORE_Manage video";"Manage preview video"
"STORE_Manage audios";"Manage preview audios"
"STORE_UPLOAD_A_FILE_DESCRIPTION";"Click ""Add File"" to select one file from your computer. After you have selected a file, they will begin to upload right away. When your upload is finished, click the button below your one file to save them to your product."
"Upload a File:";"Upload a File:"
"Add File";"Add File"
"Save File";"Save File"
"Choose file from your computer to add to this product.";"Please upload product's file which will be available as soon as customers will purchase it. You can upload files of the following types: rar, zip, pdf, mp3, doc, xsl, txt, psd, png, jpg, etc."
"Upload File";"Upload File"
"STORE_NEW_VIDEO_DESCRIPTION_FORM";"You can add one preview video to your product."
"Add New Video";"Add New Video"
"Video Title";"Video Title"
"Video Description";"Video Description"
"Video Source";"Video Source"
"Video Link (URL)";"Video Link (URL)"
"Paste the web address of the video here.";"Paste the web address of the video here."
"Save Video";"Save Video"
"STORE_Edit Video";"Edit Video"
"Delete Video";"Delete Video"
"Are you sure you want to delete this video?";"Are you sure you want to delete this video?"
"Upload Audios:";"Upload Audios:"
"Add Audios";"Add Audio Files"
"Save audios";"Save audios"
"Choose audios from your computer to add to this product.";"You can add preview audio files from your computer to your product."
"Edit Audios";"Edit Audios"
"Track";"Track"
"Play";"Play"
"Delete Audio";"Delete Audio"
"Are you sure you want to delete this audio?";"Are you sure you want to delete this audio?"
"Audio doesn't exists or not authorized to delete";"Audio doesn't exists or not authorized to delete"
"Audio has been deleted.";"Audio has been deleted."
"Video doesn't exists or not authorized to delete";"Video doesn't exists or not authorized to delete"
"Video has been deleted.";"Video has been deleted."
"File doesn't exists or not authorized to delete";"File doesn't exists or not authorized to delete"
"File has been deleted.";"File has been deleted."
"Edit Products";"Manage Products"
"STORE_PAGE_PRODUCTS_DESCRIPTION";"Browse your products and edit their details, remove or add new products."
"Back";"Back"
"You can add photos to your product here.";"You can add photos to your product here."
"Play Video";"Play Video"
"Audios";"Audios"
"Brand";"Brand"

"STORE_Download";"Download"
"STORE_Left Download Count";"Left Downloads Count"
"STORE_Over";"Over"
"STORE_Unlimited";"Unlimited"
"STORE_Sorry, we could not find requested download file.";"Sorry, we could not find requested download file."

"ADMIN_ACTIVITY_TYPE_PAGE_STORE_PRODUCT_NEW";"When someone posts a new product on your page"
"ADMIN_ACTIVITY_TYPE_STORE_PRODUCT_NEW";"When admin posts a new product"
"ADMIN_ACTIVITY_TYPE_PAGE_PRODUCT_NEW";"When page owner posts a new product"
"_ACTIVITY_ACTIONTYPE_PAGE_PRODUCT_NEW";"New products"


"STORE_Select checkbox if you want to sell product with credits, but this doesn't mean that you cannot sell with default currency ($ etc), they will work together";"Allow members to purchase this product using credits(it still can be purchased via money)"
"Selling with Credits";"Allow Credits"
"pagetitle-store-index-admin-transactions";"Transactions"
"CORE_VIEWS_SCRIPTS_ADMINTRANSACTION_ORDER_DESCRIPTION";"Below you can view orders by products, so each record is linked to products sales. Filter orders using the form below."
"pagetitle-store-edit-admin-gateway";"Edit Payment Gateway Settings"
"pagetitle-store-button-admin-gateway";"Edit Payment Gateway Button Image"
"Replace";"Replace"
"STORE_Account Settings";"Account Settings"
"STORE_Button Settings";"Button Settings"
"STORE_%s Settings";"%s Settings"
"STORE_To replace the gateway's button paste Image's URL into the following text field. Leave empty to show the default button.";"Using the form below you can replace the payment gateway button's image, it is recommended to use official images from the payment gateway which are known and comfortable for customers. To replace the gateway's button paste Image's URL into the following text field. Leave empty to show the default button."
"pagetitle-store-index-admin-gateway";"Manage Payment Gateways"
"pagetitle-store-index-admin-locations";"Manage Locations Supported by Site Store"
"STORE_Manage Supported Shipping Locations";"Manage Supported Shipping Locations by Site Store"
"STORE_Manage Default Shipping Locations";"Manage Default Shipping Locations"
"pagetitle-store-index-admin-taxes";"Manage Taxes"
"pagetitle-store-index-admin-stores";"Stores"
"STORE_ADMIN_TAXES_DESCRIPTION";"Manage Taxes which are available and can be applied to products are sold on your site. You can create various taxes and with own caption and percentage: USA Federal Tax, Eurozone Tax, etc. You can set applied tax to each product separately, the same for store owners - they can select an appropriate tax from these available taxes list.<br />
These taxes are paid by buyers and this amount is listed on Checkout page."
"Credit Settings";"Credits"
"Only Store";"Disable Credits in Store"
"With Credits";"Enable Credits in Store"
"Your store system is currently working %s credit.";""
"STORE_WITHOUT_CREDIT";"Credits are disabled in Store section so products can be purchased only via payment gateways."
"STORE_WITH_CREDIT";"Credits are enabled in Store section so your products can be purchased using credits, also other stores can activate and sell products for credits if you enable the setting below. There is available an option to enable selling via credits on Create/Edit Product page."
"pagetitle-store-index-admin-credits";"Enable/Disable Credits"
"pagetitle-store-index-admin-settings";"Store Settings"
"pagetitle-store-index-admin-level";"Store Level Settings"
"STORE_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"STORE_Product Transactions";"Transactions"
"CORE_VIEWS_SCRIPTS_ADMINTRANSACTIONS_INDEX_DESCRIPTION";"Below you can view transactions list with all details: buyer, order key, gateway, etc. You can find transactions using <u>Order Key</u> in your PayPal/2Checkout account panel. Filter transactions using the form below."
"STORE_CREDIT_SETTINGS_DESCRIPTION";"Check settings which are applied to Credits and Store integration."
"STORE_Credits on Store";"Allow Store Owners to Sell Products for Credits?"
"STORE_Do you want to give store owners a choice of a credit system on product creation?";"Do you want to allow store owners to enable selling via credits their products(they can configure it on create/edit product page)?"
"pagetitle-store-copy-admin-products";"Create Product Copy"
"STORE_FORM_ADMIN_SETTINGS_PAYMENT";"Below you can edit Store settings which are applied globally.<br />
How to get started?<br />
- <u>Configure Payment Gateways</u>. Go to `<i>Gateways</i>` section to set up supported gateways: PayPal, 2Checkout.<br />
- <u>Configure Locations</u>. If you provide shipment for tangible products then set up supported shipping locations in `<i>Locations</i>` section.<br />
- <u>Configure Taxes</u>. Go to `<i>Tax</i>` section to set up taxes which can be applied.<br />
- <u>Enable Credits</u>. If you have <a href=""http://anonym.to/http://www.hire-experts.com/social-engine/credits-plugin"" target=""_blank"">Credits plugin</a> and would like to provide an option to purchase products using credits then go to `<i>Credits</i>` section.<br />
- <u></u>. <i></i> section.<br />
"
"STORE_VIEWS_SCRIPTS_ADMINSTATISTICS_LIST_DESCRIPTION";"Below you can view sales statistics per products - total gross, how many times sold. Search products by keyword search below."
"STORE_Products List Statistics";"Products List Statistics"
"STORE_Global";"Global"
"STORE_Maximum allowed download count after checking out.";"How many times a buyer can download purchased intangible product(file)? It is recommended to allow more downloads to allow the buyer to restore damaged or lost the product file."
"STORE_Allowed Download Count";"Allowed Downloads Count"
"Gross Amount";"Gross Amount"
"Item Amount";"Item Amount"
"Tax Amount";"Tax Amount"
"(%s)";"(%s)"
"Edit File of Product";"Edit File of Product"
"STORE_Create Store";"You can open your store by creating its official page here"
"Gross";"Gross"
"Product Profile";"Product Profile"
"Chart Statistic";"Sales Chart"
"List Statistic";"Sales per Products"
"STORE_VIEWS_SCRIPTS_STATISTICS_CHART_DESCRIPTION";"Below you can view sales statistics for Gross Amount and Transactions Count per selected periods(week, month, year)."
"STORE_VIEWS_SCRIPTS_STATISTICS_LIST_DESCRIPTION";"Below you can view sales statistics per products - total gross, how many times sold. Search products by keyword search below."
"STORE_VIEWS_SCRIPTS_STATISTICS_TRANSACTIONS_DESCRIPTION";"Below you can view list of all transactions in your store."
"STORE_Best Sellers";"Best Sellers"

"There no products added yet.";"There is no any available product."
"STORE_Create Product.";"Create Product."
"STORE_All Locations";"All Locations"
"_ACTIVITY_ACTIONTYPE_PAGE_STORE_PRODUCT_NEW";"New product in store"
"_ACTIVITY_ACTIONTYPE_STORE_PRODUCT_NEW";"New admin's product"
"_ACTIVITY_ACTIONTYPE_COMMENT_STORE_PRODUCT";"Comments on your products"
"ADMIN_ACTIVITY_TYPE_COMMENT_STORE_PRODUCT";"When a user (subject) comments on another user's (object) products."

"STORE_Add Heading";"Add Heading"
"STORE_Add Question";"Add Question"
"STORE_Reset product search";"Reset search"

"STORE_ADDITIONAL_PARAMS_DESCRIPTION";"If you have an additional parameters for your product, then you can them below. For example: ""Available Product Colors"" for t-shirts, ""Available Product Sizes"" for shoes, etc.<br />
<span style='font-weight:bold'>Label</span> - enter here the caption for the parameter: T-Shirt Color<br />
<span style='font-weight:bold'>Available options</span> - enter here available option separated by comma: White, Black, Green, Blue."
"STORE_Add Option";"Add Option"
"STORE_Options. Comma separated.";"Available options(comma separated)"
"STORE_Wrong value has been assigned!";"Wrong value has been assigned!"
"STORE_Some params were not set!";"Some parameters were not set!"
"STORE_-Select-";"-Select-"
"STORE_Select a %1$s";"Select a %1$s"
"STORE_Enter a %1$s";"Enter a %1$s"
"STORE_Permission is denied! You are not allowed to order.";"Permission is denied! You are not allowed to order."
"STORE_Additional parameters are required!";"Parameters are required, please check the product fields."
"STORE_Please, check the additional parameters carefully! Wrong parameters have been assigned.";"Please, check the additional parameters carefully! Wrong parameters have been assigned."
"STORE_Parameters";"Parameters"
"STORE_Enable your store 'Commission Email' to be able to get commissions from other store transactions!";"Enable your store 'Commission Email' to be able to get commissions from other store transactions!"
"STORE_Commission Settings";"Commission Settings"
"STORE_Minimum Allowed Price";"Minimum Allowed Price"
"STORE_Minimum Allowed Price Description";"Please set a Minimum Allowed Price for your members products, include in this price the fees of your site."
"STORE_This product cannot be added to your cart. The price of the product lower than allowed Minimum Price.";"This product cannot be added to your cart. The price of the product is lower than allowed Minimum Price."
"Additional Params";"Additional Parameters"
"STORE_Checkout with %s";"Checkout with %s"
"STORE_Button URL";"Button URL"
"STORE_Replaced successfully";"Replaced successfully"
"STORE_+Add";"+Add"
"STORE_Location Name";"Location Name"
"STORE_Shipping Price";"Shipping Price"
"STORE_Shipping Days";"Shipping Days"
"STORE_Please, provide valid location.";"Invalid location, please fulfil fields."
"STORE_Please, provide valid Shipping Price.";"Please provide valid Shipping Price."
"STORE_Please, provide valid Shipping Days.";"Please provide valid Shipping Days."
"STORE_Are you sure you want to delete '";"Are you sure you want to delete '"
"STORE_Sub-Locations";"Sub-Locations"
"STORE_Only Sub-Locations";"Only Sub-Locations"
"STORE_Delete Location";"Delete Location"
